Paper's Reference [-],Fluid 1 [-],Fluid 1 Superficial Velocity [m/s],Fluid 1 Viscosity [Pa.s],Fluid 1 Density [kg/m³],Fluid 2 [-],Fluid 2 Superficial Velocity [m/s],Fluid 2 Viscosity [Pa.s],Fluid 2 Density [kg/m³],Internal Diameter [m],Duct Inclination [°],Interfacial Tension [N/m],Liquid Volumetric Fraction [-],Model Holdup Prediction [-]
Ottens et al. (2001),Water,0.0562,0.00098,998.0,Air,9.995,1.79e-05,1.176,0.052,0.0,0.0735,0.0218,0.13597444491191
Ottens et al. (2001),Water,0.0648,0.00098,998.0,Air,9.995,1.79e-05,1.176,0.052,0.0,0.0735,0.0245,0.150867276492547
Ottens et al. (2001),Water,0.0762,0.00098,998.0,Air,9.985,1.79e-05,1.176,0.052,0.0,0.0735,0.0273,0.16944380180707
Ottens et al. (2001),Water,0.0837,0.00098,998.0,Air,10.03,1.79e-05,1.176,0.052,0.0,0.0735,0.0284,0.1803300074051
Ottens et al. (2001),Water,0.1168,0.00098,998.0,Air,10.01,1.79e-05,1.176,0.052,0.0,0.0735,0.0342,0.129304406731497
Ottens et al. (2001),Water,0.1297,0.00098,998.0,Air,10.01,1.79e-05,1.176,0.052,0.0,0.0735,0.0361,0.136131014924298
Ottens et al. (2001),Water,0.1446,0.00098,998.0,Air,10.01,1.79e-05,1.176,0.052,0.0,0.0735,0.0376,0.143460439927732
Ottens et al. (2001),Water,0.0494,0.00098,998.0,Air,10.0,1.79e-05,1.177,0.052,0.0,0.0735,0.0204,0.12344019809365
Ottens et al. (2001),Water,0.0984,0.00098,998.0,Air,10.02,1.79e-05,1.177,0.052,0.0,0.0735,0.0303,0.201399899377988
Ottens et al. (2001),Water,0.049,0.00098,998.0,Air,12.48,1.79e-05,1.186,0.052,0.0,0.0735,0.0142,0.103325550811414
Ottens et al. (2001),Water,0.0577,0.00098,998.0,Air,12.47,1.79e-05,1.185,0.052,0.0,0.0735,0.0153,0.117222376096367
