Paper's Reference [-],Fluid 1 [-],Fluid 1 Superficial Velocity [m/s],Fluid 1 Viscosity [Pa.s],Fluid 1 Density [kg/m³],Fluid 2 [-],Fluid 2 Superficial Velocity [m/s],Fluid 2 Viscosity [Pa.s],Fluid 2 Density [kg/m³],Internal Diameter [m],Duct Inclination [°],Interfacial Tension [N/m],Model Prediction [-],Flow Pattern [-],Flow Pattern Shoham [-],Unified Flow Pattern [-]
Barnea et al. (1982),Water,0.00386498545398165,0.001139,999.0,Air,0.041168432134058,1.7965e-05,1.2257,0.0255,0.0,0.0735,Stratified,Smooth Stratified,Smooth Stratified,Stratified
Barnea et al. (1982),Water,0.00604693202388647,0.001139,999.0,Air,0.0416839082660676,1.7965e-05,1.2257,0.0255,0.0,0.0735,Stratified,Smooth Stratified,Smooth Stratified,Stratified
Barnea et al. (1982),Water,0.00957276683627678,0.001139,999.0,Air,0.0422089587756175,1.7965e-05,1.2257,0.0255,0.0,0.0735,Stratified,Smooth Stratified,Smooth Stratified,Stratified
Barnea et al. (1982),Water,0.037531626773176,0.001139,999.0,Air,0.0425724510819578,1.7965e-05,1.2257,0.0255,0.0,0.0735,Stratified,Smooth Stratified,Smooth Stratified,Stratified
Barnea et al. (1982),Water,0.0148016295994528,0.001139,999.0,Air,0.0427343044086137,1.7965e-05,1.2257,0.0255,0.0,0.0735,Stratified,Smooth Stratified,Smooth Stratified,Stratified
Barnea et al. (1982),Water,0.0951690966361475,0.001139,999.0,Air,0.0428217920903123,1.7965e-05,1.2257,0.0255,0.0,0.0735,Stratified,Smooth Stratified,Smooth Stratified,Stratified
Barnea et al. (1982),Water,0.0242743014070414,0.001139,999.0,Air,0.0428671874426935,1.7965e-05,1.2257,0.0255,0.0,0.0735,Stratified,Smooth Stratified,Smooth Stratified,Stratified
Barnea et al. (1982),Water,0.0594155037077561,0.001139,999.0,Air,0.0431086936768385,1.7965e-05,1.2257,0.0255,0.0,0.0735,Stratified,Smooth Stratified,Smooth Stratified,Stratified
Barnea et al. (1982),Water,0.0987037645197147,0.001139,999.0,Air,0.0667164390471774,1.7965e-05,1.2257,0.0255,0.0,0.0735,Stratified,Smooth Stratified,Smooth Stratified,Stratified
Barnea et al. (1982),Water,0.0594843526298229,0.001139,999.0,Air,0.0677986020100619,1.7965e-05,1.2257,0.0255,0.0,0.0735,Stratified,Smooth Stratified,Smooth Stratified,Stratified
Barnea et al. (1982),Water,0.00993907810415905,0.001139,999.0,Air,0.100479168390377,1.7965e-05,1.2257,0.0255,0.0,0.0735,Stratified,Smooth Stratified,Smooth Stratified,Stratified
Barnea et al. (1982),Water,0.00369557813141389,0.001139,999.0,Air,0.10082390132716,1.7965e-05,1.2257,0.0255,0.0,0.0735,Stratified,Smooth Stratified,Smooth Stratified,Stratified
Barnea et al. (1982),Water,0.00620511650128494,0.001139,999.0,Air,0.101152368446162,1.7965e-05,1.2257,0.0255,0.0,0.0735,Stratified,Smooth Stratified,Smooth Stratified,Stratified
Barnea et al. (1982),Water,0.0602514303456971,0.001139,999.0,Air,0.10162203345733,1.7965e-05,1.2257,0.0255,0.0,0.0735,Stratified,Smooth Stratified,Smooth Stratified,Stratified
Barnea et al. (1982),Water,0.0953827316022688,0.001139,999.0,Air,0.10290206459327,1.7965e-05,1.2257,0.0255,0.0,0.0735,Stratified,Smooth Stratified,Smooth Stratified,Stratified
Barnea et al. (1982),Water,0.058916911747325,0.001139,999.0,Air,0.159801021086628,1.7965e-05,1.2257,0.0255,0.0,0.0735,Stratified,Smooth Stratified,Smooth Stratified,Stratified
Barnea et al. (1982),Water,0.0932677859901916,0.001139,999.0,Air,0.160262380709736,1.7965e-05,1.2257,0.0255,0.0,0.0735,Stratified,Smooth Stratified,Smooth Stratified,Stratified
