Paper's Reference [-],Fluid 1 [-],Fluid 1 Superficial Velocity [m/s],Fluid 1 Viscosity [Pa.s],Fluid 1 Density [kg/m³],Fluid 2 [-],Fluid 2 Superficial Velocity [m/s],Fluid 2 Viscosity [Pa.s],Fluid 2 Density [kg/m³],Internal Diameter [m],Duct Inclination [°],Interfacial Tension [N/m],Pressure Gradient [Pa/m],Model Prediction Pressure Gradient [Pa/m]
Ottens et al. (2001),Water,0.0562,0.00098,998.0,Air,9.995,1.79e-05,1.176,0.052,0.0,0.0735,33.68,38.1096229187595
Ottens et al. (2001),Water,0.0648,0.00098,998.0,Air,9.995,1.79e-05,1.176,0.052,0.0,0.0735,34.47,39.9167941351024
Ottens et al. (2001),Water,0.0762,0.00098,998.0,Air,9.985,1.79e-05,1.176,0.052,0.0,0.0735,35.45,42.2621275569278
Ottens et al. (2001),Water,0.0837,0.00098,998.0,Air,10.03,1.79e-05,1.176,0.052,0.0,0.0735,36.43,44.1278756128415
Ottens et al. (2001),Water,0.1168,0.00098,998.0,Air,10.01,1.79e-05,1.176,0.052,0.0,0.0735,40.93,286.784234767883
Ottens et al. (2001),Water,0.1297,0.00098,998.0,Air,10.01,1.79e-05,1.176,0.052,0.0,0.0735,42.69,312.318535545506
Ottens et al. (2001),Water,0.1446,0.00098,998.0,Air,10.01,1.79e-05,1.176,0.052,0.0,0.0735,44.26,341.885370919304
Ottens et al. (2001),Water,0.0494,0.00098,998.0,Air,10.0,1.79e-05,1.177,0.052,0.0,0.0735,33.37,36.7317900876253
Ottens et al. (2001),Water,0.0984,0.00098,998.0,Air,10.02,1.79e-05,1.177,0.052,0.0,0.0735,38.86,47.2390524859036
Ottens et al. (2001),Water,0.049,0.00098,998.0,Air,12.48,1.79e-05,1.186,0.052,0.0,0.0735,54.64,51.8296815482348
Ottens et al. (2001),Water,0.0577,0.00098,998.0,Air,12.47,1.79e-05,1.185,0.052,0.0,0.0735,56.8,53.9219641620234
Ottens et al. (2001),Water,0.0688,0.00098,998.0,Air,12.46,1.79e-05,1.185,0.052,0.0,0.0735,58.95,56.64128342488
Ottens et al. (2001),Water,0.0791,0.00098,998.0,Air,12.46,1.79e-05,1.185,0.052,0.0,0.0735,61.3,59.2290907536501
Ottens et al. (2001),Water,0.0914,0.00098,998.0,Air,12.46,1.79e-05,1.185,0.052,0.0,0.0735,63.06,291.861552404153
Ottens et al. (2001),Water,0.1041,0.00098,998.0,Air,12.47,1.79e-05,1.185,0.052,0.0,0.0735,65.53,321.954059922594
Ottens et al. (2001),Water,0.1192,0.00098,998.0,Air,12.46,1.79e-05,1.185,0.052,0.0,0.0735,67.77,357.196705993221
Ottens et al. (2001),Water,0.1332,0.00098,998.0,Air,12.46,1.79e-05,1.184,0.052,0.0,0.0735,69.72,390.014153979653
Ottens et al. (2001),Water,0.1449,0.00098,998.0,Air,12.46,1.79e-05,1.185,0.052,0.0,0.0735,71.68,417.691759816834
Ottens et al. (2001),Water,0.0451,0.00098,998.0,Air,15.94,1.79e-05,1.18,0.052,0.0,0.0735,86.18,74.8569436666966
Ottens et al. (2001),Water,0.0483,0.00098,998.0,Air,15.93,1.79e-05,1.179,0.052,0.0,0.0735,87.82,75.7232141242086
Ottens et al. (2001),Water,0.0575,0.00098,998.0,Air,15.92,1.79e-05,1.179,0.052,0.0,0.0735,91.66,271.534396954518
Ottens et al. (2001),Water,0.0643,0.00098,998.0,Air,15.93,1.79e-05,1.179,0.052,0.0,0.0735,93.23,287.771326279791
Ottens et al. (2001),Water,0.0779,0.00098,998.0,Air,15.91,1.79e-05,1.179,0.052,0.0,0.0735,98.71,331.042731832903
Ottens et al. (2001),Water,0.0879,0.00098,998.0,Air,15.89,1.79e-05,1.179,0.052,0.0,0.0735,101.8,359.197905694715
Ottens et al. (2001),Water,0.0502,0.00098,998.0,Air,7.018,1.79e-05,1.176,0.052,0.0,0.0735,17.39,21.8683440614857
